Month,Opening Principal Balance,Rates,Cashflow,Interest Paid,Principal Paid,Closing Princial Balance
232,535167.8676924423,0.051000000000000004,5429.497734004053,2274.4634376927315,3155.0342963113217,532012.8333961309
233,532012.8333961309,0.051000000000000004,5429.497734004053,2261.0545419334703,3168.443192070583,528844.3902040604
234,528844.3902040604,0.051000000000000004,5429.497734004053,2247.588658367171,3181.9090756368823,525662.4811284235
235,525662.4811284235,0.051000000000000004,5429.497734004053,2234.0655447957724,3195.4321892082808,522467.0489392152
236,522467.0489392152,0.051000000000000004,5429.497734004053,2220.484957991521,3209.0127760125324,519258.03616320266
237,519258.03616320266,0.051000000000000004,5429.497734004053,2206.8466536937085,3222.6510803103447,516035.3850828923
238,516035.3850828923,0.051000000000000004,5429.497734004053,2193.150386602156,3236.3473474018974,512799.0377354904
239,512799.0377354904,0.051000000000000004,5429.497734004053,2179.395910375755,3250.101823628298,509548.9359118621
240,509548.9359118621,0.05139999999999999,5454.102779424367,3556.994019574511,1897.1087598498561,507651.82715201227
241,507651.82715201227,0.05139999999999999,5454.102779424367,2174.441992967648,3279.6607864567195,504372.16636555555
242,504372.16636555555,0.05139999999999999,5454.102779424367,2160.394112599166,3293.7086668252014,501078.45769873034
243,501078.45769873034,0.05139999999999999,5454.102779424367,2146.286060476119,3307.8167189482483,497770.6409797821
244,497770.6409797821,0.05139999999999999,5454.102779424367,2132.117578863308,3321.985200561059,494448.65577922104
245,494448.65577922104,0.05139999999999999,5454.102779424367,2117.8884089209278,3336.2143705034396,491112.4414087176
246,491112.4414087176,0.05139999999999999,5454.102779424367,2103.5982907006655,3350.504488723702,487761.9369199939
247,487761.9369199939,0.05139999999999999,5454.102779424367,2089.246963140522,3364.8558162838453,484397.08110371005
248,484397.08110371005,0.05139999999999999,5454.102779424367,2074.8341640608523,3379.268615363515,481017.81248834654
249,481017.81248834654,0.05139999999999999,5454.102779424367,2060.359630158371,3393.743149265996,477624.06933908054
250,477624.06933908054,0.05139999999999999,5454.102779424367,2045.8230970023105,3408.279682422057,474215.7896566585
